2016/08/18 15:16:23 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:23 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:23 [Gateway][ INFO] Setup gateway key-connector. Key [CONTROL] connector [TcpConnector [type=TCP, server-host='localhost', server-port=0, client-host=null, client-port=7322]]
2016/08/18 15:16:23 [Gateway][ INFO] Setup gateway key-connector. Key [PLOTTER] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7334, client-host=null, client-port=0]]
2016/08/18 15:16:23 [TcpServerConnector][ INFO] TCP server connection waiting: port [7334]
2016/08/18 15:18:05 [MissionStepProcessor][ INFO] Updating target: [Point [x=1195.09, y=-980.79, z=200.0]]
2016/08/18 15:18:06 [MissionStepProcessor][ INFO] Updating target: [Point [x=1156.43, y=-987.69, z=200.0]]
2016/08/18 15:18:06 [MissionStepProcessor][ INFO] Updating target: [Point [x=1117.54, y=-993.07, z=200.0]]
2016/08/18 15:18:07 [MissionStepProcessor][ INFO] Updating target: [Point [x=1078.46, y=-996.92, z=200.0]]
2016/08/18 15:18:08 [MissionStepProcessor][ INFO] Updating target: [Point [x=1039.26, y=-999.23, z=200.0]]
2016/08/18 15:18:08 [MissionStepProcessor][ INFO] Updating target: [Point [x=1000.0, y=-1000.0, z=200.0]]
2016/08/18 15:18:09 [MissionStepProcessor][ INFO] Updating target: [Point [x=960.74, y=-999.23, z=200.0]]
2016/08/18 15:18:10 [MissionStepProcessor][ INFO] Updating target: [Point [x=921.54, y=-996.92, z=200.0]]
2016/08/18 15:18:10 [MissionStepProcessor][ INFO] Updating target: [Point [x=882.46, y=-993.07, z=200.0]]
2016/08/18 15:18:11 [MissionStepProcessor][ INFO] Updating target: [Point [x=843.57, y=-987.69, z=200.0]]
2016/08/18 15:18:11 [MissionStepProcessor][ INFO] Updating target: [Point [x=804.91, y=-980.79, z=200.0]]
2016/08/18 15:18:12 [MissionStepProcessor][ INFO] Updating target: [Point [x=766.55, y=-972.37, z=200.0]]
2016/08/18 15:18:13 [MissionStepProcessor][ INFO] Updating target: [Point [x=728.56, y=-962.46, z=200.0]]
2016/08/18 15:18:13 [MissionStepProcessor][ INFO] Updating target: [Point [x=690.98, y=-951.06, z=200.0]]
2016/08/18 15:18:14 [MissionStepProcessor][ INFO] Updating target: [Point [x=653.88, y=-938.19, z=200.0]]
2016/08/18 15:18:15 [MissionStepProcessor][ INFO] Updating target: [Point [x=617.32, y=-923.88, z=200.0]]
