2016/08/18 15:16:17 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:17 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:17 [Gateway][ INFO] Setup gateway key-connector. Key [CONTROL] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7311, client-host=null, client-port=0]]
2016/08/18 15:16:17 [Gateway][ INFO] Setup gateway key-connector. Key [PLOTTER] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7315, client-host=null, client-port=0]]
2016/08/18 15:16:17 [TypeUtils][ERROR] Cannot parse [] into [Integer]: For input string: ""
2016/08/18 15:16:17 [TcpServerConnector][ INFO] TCP server connection waiting: port [7315]
2016/08/18 15:16:17 [TcpServerConnector][ INFO] TCP server connection waiting: port [7311]
2016/08/18 15:16:17 [ConnectorHandler][ERROR] (006-socket-error) . Not recoverable. Closing. Handler [ConnectorHandler [connector=TelnetConnector [type=TCP, server-host='localhost', server-port=0, client-host=null, client-port=7411], protocol=org.lcr.aps.model.flightgear.connector.TextInputProtocol@44715ec1]]
2016/08/18 15:16:19 [TcpServerConnector][ INFO] TCP server connection created: server [localhost:7311] client [localhost:58926]
2016/08/18 15:17:28 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:28 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:29 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:30 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:31 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:31 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:32 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:33 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:33 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:34 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:35 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:36 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:36 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:37 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:38 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:38 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:39 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:40 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:41 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:41 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:42 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:43 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:43 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:44 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:45 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:45 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:46 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:47 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:47 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:48 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:49 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:49 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
